Klo;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00
Viipurisali 1.10.2019;0;118;120;119;112;196;49;47;4;3;36;36
Viipurisali 8.10.2019;0;2;2;106;106;205;2;0;0;1;23;24
Viipurisali 15.10.2019;0;34;5;73;68;147;153;151;56;55;8;8
Viipurisali 22.10.2019;0;152;128;38;6;0;0;0;5;158;156;118
Viipurisali 29.10.2019;0;2;3;117;114;168;158;73;52;1;25;26
Viipurisali 5.11.2019;0;2;1;77;14;154;156;6;2;2;20;20
Viipurisali 12.11.2019;0;1;2;98;30;101;99;1;1;2;19;18
Viipurisali 19.11.2019;0;0;0;79;26;116;111;46;46;2;17;15
Viipurisali 26.11.2019;0;2;2;95;20;96;92;1;2;1;11;9
